param_id,fam_duration,violation_type,sample_n_mean,sample_n_std,linking_hypothesis,mu_prior,hypothetical_obs_grid_n,max_observation,batch_n,jitter_n,quad_a,quad_b,quad_c,V_prior,alpha_prior,beta_prior,epsilon,mu_epsilon,sd_epsilon,world_EIGs,forced_exposure_max
83,0,background,59,24.653386657500235,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
83,0,background,48.25,31.06169582248241,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
55,0,background,71.9,66.44499109869204,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,64.45,38.089195871076925,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,94.5,66.99528655847837,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,63.4,47.76962258700881,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,81.95,71.18284462158739,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,97.7,49.56027696282153,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,75.8,59.823952252905315,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,69.25,54.42800652914677,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,63.15,52.92126724026731,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,85.05,67.58657216372276,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,84.65,70.05131577711629,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,55.15,39.60366144689149,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,87.15,90.71776649529428,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,67.5,63.10767740432554,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,72.9,54.91131606125414,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,79.2,70.86577378916314,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,53.9,49.70957760093278,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,70.1,54.485053479202705,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,54.3,52.05675040912461,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,89.45,81.10193391165544,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,45.2,47.628607060529454,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,46.75,41.144002568642016,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,54.4,36.60370990688469,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,48.05,49.21004925183901,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
55,0,background,40.5,39.15488811320874,EIG,0,5,500,2,20,999,999,999,1,1,1,1e-4,0.001,0.5,1e-5,5
71,0,background,57.25,25.599907483385454,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,48.7,26.42387277882595,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,41.35,28.98506875145056,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,48.6,24.540836000001047,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
71,0,background,42.45,30.926866194808337,EIG,0,5,500,2,20,999,999,999,1,1,10,1e-4,0.001,1,1e-5,5
83,0,background,67.5,29.898952630837297,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
83,0,background,75.55,34.9096201489986,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
83,0,background,79.2,34.092135225158984,EIG,0,5,500,2,20,999,999,999,1,10,0.1,1e-4,0.001,1,1e-5,5
