experiment,subject_num,fam_duration,age,sex,SubjectInfo.sessionNumber,fam_or_test,test_type,animal,Trials.ordinal,Looks.confidence,Trials.duration,Trials.excludeTrial,Trials.excludeReason,LT,block_num,exclude,is_violation
7,PKBB_26,8,330,F,1,test,identity,1,1,0.7329031590427338,46.658,False,,41.667,1,FALSE,TRUE
7,PKBB_26,8,330,F,1,test,animacy,3,5,0.6590877845017941,43.151,False,,15.614,3,FALSE,TRUE
7,PKBB_26,9,330,F,1,test,background,5,3,0.7362643461242006,43.56399999999999,False,,39.688,2,FALSE,FALSE
7,PKBB_26,9,330,F,1,test,number,6,7,NA,18.266,False,,18.266,4,FALSE,TRUE
7,PKBB_27,8,277,M,1,test,number,4,1,0.8630034668563998,60,False,,58.721,1,FALSE,TRUE
7,PKBB_27,8,277,M,1,test,animacy,2,7,0.8741040086066755,60,False,,9.593999999999994,4,FALSE,TRUE
7,PKBB_27,9,277,M,1,test,pose,1,3,0.8724709634720893,55.721,False,,53.28499999999999,2,FALSE,TRUE
7,PKBB_27,9,277,M,1,test,background,6,5,0.9047798501924502,36.256,False,,6.530000000000001,3,FALSE,FALSE
7,PKBB_28,9,276,M,1,test,number,6,3,0.711745639173105,18.992,False,,4.3260000000000005,2,FALSE,TRUE
7,PKBB_29,8,239,M,1,test,background,1,1,0.6546456791091072,23.895,False,,20.704,1,FALSE,FALSE
7,PKBB_29,8,239,M,1,test,animacy,6,3,0.995169581891024,23.128,False,,21.545,2,FALSE,TRUE
7,PKBB_29,9,239,M,1,test,identity,3,5,0.978757907184954,20.654,False,,20.654,3,FALSE,TRUE
7,PKBB_29,9,239,M,1,test,pose,4,7,0.9919301110165222,18.247,False,,18.247,4,FALSE,TRUE
7,PKBB_30,8,390,M,1,test,animacy,4,1,0.8593122366274608,52.297,False,,51.46,1,FALSE,TRUE
7,PKBB_30,8,390,M,1,test,number,5,7,0.8708696897466908,60,False,,10.517000000000005,4,FALSE,TRUE
7,PKBB_30,9,390,M,1,test,pose,2,5,0.8502488541044645,27.741,False,,21.669999999999995,3,FALSE,TRUE
7,PKBB_31,8,246,F,1,test,identity,2,1,0.5941543422217503,38.6,False,,31.584,1,FALSE,TRUE
7,PKBB_31,8,246,F,1,test,background,4,5,0.7492268752713918,12.105,False,,12.105,3,FALSE,FALSE
7,PKBB_31,9,246,F,1,test,pose,6,3,0.5443232219068732,18.391,False,,16.554999999999996,2,FALSE,TRUE
7,PKBB_32,8,296,F,1,test,background,5,1,NA,42.072,False,,42.072,1,FALSE,FALSE
7,PKBB_32,8,296,F,1,test,animacy,4,3,NA,45.257,False,,44.699,2,FALSE,TRUE
7,PKBB_32,9,296,F,1,test,identity,2,5,0.6549996137619019,23.685,False,,23.685,3,FALSE,TRUE
7,PKBB_32,9,296,F,1,test,pose,3,7,NA,12.901,False,,12.262,4,FALSE,TRUE
7,PKBB_33,8,221,M,1,test,pose,4,1,0.7988271122760169,18.894,False,,18.894,1,FALSE,TRUE
7,PKBB_33,8,221,M,1,test,animacy,2,5,0.9227945261963032,15.44,False,,15.44,3,FALSE,TRUE
