subject_num,age,sex,SubjectInfo.sessionNumber,Trials.trialType,Trials.ordinal,Looks.confidence,Trials.duration,Trials.excludeTrial,Trials.excludeReason,LT,experiment,trial_type,pose,block_num,exclude
PKBB_16,298,F,1,stimuli/images/unity_stims/veggie_05_nopose_single_new.mp4,0,0.6758048432642242,28.932,False,,22.674,6,veggie,no_pose,1,FALSE
PKBB_16,298,F,1,stimuli/images/unity_stims/animate_04_left_pair_new.mp4,1,0.8007727048805475,42.584,False,,12.732,6,animal pair,left,2,FALSE
PKBB_16,298,F,1,stimuli/images/unity_stims/animate_02_left_single_new.mp4,2,0.6207215670748503,53.355,False,,28.204000000000004,6,single animal,left,3,FALSE
PKBB_16,298,F,1,stimuli/images/unity_stims/animate_03_right_single_new.mp4,3,0.789131985458225,33.633,False,,24.454,6,single animal,right,4,FALSE
PKBB_16,298,F,1,stimuli/images/unity_stims/veggie_06_nopose_single_new.mp4,4,0.8964103784731263,30.99,False,,13.664999999999996,6,veggie,no_pose,5,FALSE
PKBB_16,298,F,1,stimuli/images/unity_stims/animate_01_right_pair_new.mp4,5,0.8081549987898383,30.179,False,,7.367999999999998,6,animal pair,right,6,FALSE
PKBB_17,280,M,1,stimuli/images/unity_stims/animate_06_left_single_new.mp4,0,0.95454811124341,21.043000000000006,False,,16.151,6,single animal,left,1,FALSE
PKBB_17,280,M,1,stimuli/images/unity_stims/veggie_04_nopose_single_new.mp4,1,0.9660954547703932,20.311,False,,14.678,6,veggie,no_pose,2,FALSE
PKBB_17,280,M,1,stimuli/images/unity_stims/veggie_05_nopose_single_new.mp4,2,0.9727432071619078,24.45,False,,8.648,6,veggie,no_pose,3,FALSE
PKBB_17,280,M,1,stimuli/images/unity_stims/animate_02_left_pair_new.mp4,3,0.8310589464324659,22.661,False,,14.274,6,animal pair,left,4,FALSE
PKBB_17,280,M,1,stimuli/images/unity_stims/animate_01_right_pair_new.mp4,4,0.9645891657477458,21.579,False,,12.687,6,animal pair,right,5,FALSE
PKBB_17,280,M,1,stimuli/images/unity_stims/animate_03_right_single_new.mp4,5,0.9594990760706434,19.598,False,,13.352,6,single animal,right,6,FALSE
PKBB_18,278,M,1,stimuli/images/unity_stims/animate_06_right_single_new.mp4,0,0.6382027629661909,48.872,False,,40.354,6,single animal,right,1,FALSE
PKBB_18,278,M,1,stimuli/images/unity_stims/animate_05_right_pair_new.mp4,1,0.5685337173835497,33.15,False,,26.596,6,animal pair,right,2,FALSE
PKBB_18,278,M,1,stimuli/images/unity_stims/animate_01_left_pair_new.mp4,2,0.7439785514357958,40.813,False,,36.02,6,animal pair,left,3,FALSE
PKBB_18,278,M,1,stimuli/images/unity_stims/veggie_02_nopose_single_new.mp4,3,0.5433913380941194,33.556,False,,28.669,6,veggie,no_pose,4,FALSE
PKBB_18,278,M,1,stimuli/images/unity_stims/veggie_04_nopose_single_new.mp4,4,0.7475065785485869,31.47,False,,26.522,6,veggie,no_pose,5,FALSE
PKBB_18,278,M,1,stimuli/images/unity_stims/animate_03_left_single_new.mp4,5,0.7480463791268145,21.8,False,,17.805999999999994,6,single animal,left,6,FALSE
PKBB_36,325,F,1,stimuli/images/unity_stims/animate_06_right_pair_new.mp4,0,0.7976218050107321,60,False,,60,6,animal pair,right,1,FALSE
PKBB_36,325,F,1,stimuli/images/unity_stims/veggie_03_nopose_single_new.mp4,1,0.5133725861557379,60,False,,58.242,6,veggie,no_pose,2,FALSE
PKBB_36,325,F,1,stimuli/images/unity_stims/animate_02_right_single_new.mp4,2,NA,60,False,,60,6,single animal,right,3,FALSE
PKBB_36,325,F,1,stimuli/images/unity_stims/animate_01_left_single_new.mp4,3,NA,36.115,False,,36.115,6,single animal,left,4,FALSE
PKBB_36,325,F,1,stimuli/images/unity_stims/animate_04_left_pair_new.mp4,4,NA,53.37600000000001,False,,53.37600000000001,6,animal pair,left,5,FALSE
PKBB_36,325,F,1,stimuli/images/unity_stims/veggie_05_nopose_single_new.mp4,5,NA,60,False,,60,6,veggie,no_pose,6,FALSE
PKBB_21,246,M,1,stimuli/images/unity_stims/animate_01_right_single_new.mp4,0,0.7180160581601865,42.646,False,,37.31100000000001,6,single animal,right,1,FALSE
PKBB_21,246,M,1,stimuli/images/unity_stims/animate_04_right_pair_new.mp4,1,0.8627062070566829,60,False,,58.722,6,animal pair,right,2,FALSE
PKBB_21,246,M,1,stimuli/images/unity_stims/animate_03_left_pair_new.mp4,2,0.8634303021933021,49.721,False,,42.606,6,animal pair,left,3,FALSE
PKBB_21,246,M,1,stimuli/images/unity_stims/veggie_05_nopose_single_new.mp4,3,NA,42.092,False,,42.092,6,veggie,no_pose,4,FALSE
PKBB_21,246,M,1,stimuli/images/unity_stims/veggie_02_nopose_single_new.mp4,4,NA,55.929,False,,55.929,6,veggie,no_pose,5,FALSE
PKBB_21,246,M,1,stimuli/images/unity_stims/animate_06_left_single_new.mp4,5,NA,60,False,,60,6,single animal,left,6,FALSE
PKBB_22,292,M,1,stimuli/images/unity_stims/animate_03_right_pair_new.mp4,0,0.3873559074140879,35.71,False,,31.315,6,animal pair,right,1,FALSE
PKBB_22,292,M,1,stimuli/images/unity_stims/veggie_02_nopose_single_new.mp4,1,0.2283832665688169,46.062,False,,10.359999999999992,6,veggie,no_pose,2,FALSE
PKBB_22,292,M,1,stimuli/images/unity_stims/animate_05_right_single_new.mp4,2,0.2009336949997932,32.608000000000004,False,,20.324999999999992,6,single animal,right,3,FALSE
PKBB_22,292,M,1,stimuli/images/unity_stims/animate_06_left_single_new.mp4,3,0.05218132512890177,38.87,False,,28.059999999999995,6,single animal,left,4,FALSE
PKBB_22,292,M,1,stimuli/images/unity_stims/animate_01_left_pair_new.mp4,4,0.4543817903567105,38.319,False,,36.803,6,animal pair,left,5,FALSE
PKBB_22,292,M,1,stimuli/images/unity_stims/veggie_04_nopose_single_new.mp4,5,NA,26.909,False,,26.909,6,veggie,no_pose,6,FALSE
PKBB_23,329,M,1,stimuli/images/unity_stims/veggie_01_nopose_single_new.mp4,0,0.4268525858720144,60,False,,48.607,6,veggie,no_pose,1,FALSE
PKBB_23,329,M,1,stimuli/images/unity_stims/animate_04_left_pair_new.mp4,1,0.5254625936349233,37.724,False,,30.922,6,animal pair,left,2,FALSE
PKBB_23,329,M,1,stimuli/images/unity_stims/animate_02_left_single_new.mp4,2,0.5851046323776246,41.859,False,,35.041000000000004,6,single animal,left,3,FALSE
PKBB_23,329,M,1,stimuli/images/unity_stims/animate_03_right_single_new.mp4,3,0.5127522620889876,21.083,False,,12.883999999999997,6,single animal,right,4,FALSE
PKBB_23,329,M,1,stimuli/images/unity_stims/veggie_06_nopose_single_new.mp4,4,0.7024370008795873,55.938,False,,32.102000000000004,6,veggie,no_pose,5,FALSE
PKBB_23,329,M,1,stimuli/images/unity_stims/animate_05_right_pair_new.mp4,5,0.6767383001208561,29.683000000000003,False,,18.564,6,animal pair,right,6,FALSE
PKBB_24,311,F,1,stimuli/images/unity_stims/animate_04_left_pair_new.mp4,0,0.8265359257323452,41.089,False,,36.512,6,animal pair,left,1,FALSE
PKBB_24,311,F,1,stimuli/images/unity_stims/animate_05_right_single_new.mp4,1,0.6634126211474148,52.62600000000001,False,,46.078,6,single animal,right,2,FALSE
PKBB_24,311,F,1,stimuli/images/unity_stims/veggie_01_nopose_single_new.mp4,2,0.7591845442542872,25.211,False,,6.593,6,veggie,no_pose,3,FALSE
PKBB_24,311,F,1,stimuli/images/unity_stims/animate_03_right_pair_new.mp4,3,0.8357095410919222,19.945,False,,16.362000000000002,6,animal pair,right,4,FALSE
PKBB_24,311,F,1,stimuli/images/unity_stims/animate_02_left_single_new.mp4,4,NA,21.554,False,,6.264999999999998,6,single animal,left,5,FALSE
