SubjectInfo.age_at_birth,sex,SubjectInfo.language_list,subject_num,age,SubjectInfo.sessionNumber,fam_or_test,violation_type,fam_duration,Trials.ordinal,Looks.confidence,Trials.duration,exclude,Trials.excludeReason,LT,is_violation,block_num
37 weeks,f,en,BJKPL2,299,1,test,pose,fam9,7,0.7684397141624151,40.179,TRUE,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),1.4380000000000024,TRUE,4
40 or more weeks,m,en,BTZ3Y3,185,1,test,identity,fam9,1,0.6936186232213429,40.226,FALSE,NA,19.122,TRUE,1
40 or more weeks,m,en,BTZ3Y3,185,1,test,background,fam9,3,0.7417888383258141,40.208,FALSE,NA,18.808000000000007,FALSE,2
40 or more weeks,m,en,BTZ3Y3,185,1,test,number,fam8,5,0.6808657307540278,40.224,FALSE,NA,5.001999999999995,TRUE,3
40 or more weeks,m,en,BTZ3Y3,185,1,test,pose,fam8,7,0.6278136221822119,40.201,FALSE,NA,4.3040000000000065,TRUE,4
39 weeks,f,en ko,CCQ5VF,393,1,test,animacy,fam8,1,NA,0.05,TRUE,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),0,TRUE,1
39 weeks,f,en ko,CCQ5VF,393,1,test,identity,fam9,5,0.5827485620975494,40.198,FALSE,NA,9.023000000000003,TRUE,2
39 weeks,f,en ko,CCQ5VF,393,1,test,background,fam8,7,0.6911820411682129,40.188,FALSE,NA,3.3100000000000023,FALSE,3
39 weeks,f,en ko,CCQ5VF,393,1,test,number,fam9,9,NA,0.05,TRUE,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),0.05,TRUE,4
39 weeks,f,en he,CF6ZCX,331,1,test,number,fam8,1,0.7188026809748432,40.23,FALSE,NA,39.907,TRUE,1
39 weeks,f,en he,CF6ZCX,331,1,test,pose,fam8,3,0.7060609057305592,40.195,FALSE,NA,37.109,TRUE,2
39 weeks,f,en he,CF6ZCX,331,1,test,background,fam9,5,0.6586812330533077,40.243,FALSE,NA,17.454000000000008,FALSE,3
39 weeks,f,en he,CF6ZCX,331,1,test,identity,fam9,7,0.6708479908190585,40.232,FALSE,NA,31.670000000000005,TRUE,4
38 weeks,m,en,CJEdEA,270,1,test,animacy,fam8,1,0.7354324819757626,40.129,FALSE,NA,6.717999999999996,TRUE,1
38 weeks,m,en,CJEdEA,270,1,test,pose,fam8,3,0.7188638636869689,40.234,FALSE,NA,10.09500000000001,TRUE,2
38 weeks,m,en,CJEdEA,270,1,test,identity,fam8,5,0.7830249160129937,40.478,FALSE,NA,3.3000000000000043,TRUE,3
38 weeks,m,en,CJEdEA,270,1,test,background,fam9,7,0.6906035053738878,40.19300000000001,FALSE,NA,3.250999999999993,FALSE,4
38 weeks,m,en,CLMDJE,280,1,test,animacy,fam8,1,0.6704948637764939,40.109,FALSE,NA,34.824,TRUE,1
38 weeks,m,en,CLMDJE,280,1,test,number,fam9,3,0.930701908627352,40.19300000000001,FALSE,NA,17.044,TRUE,2
38 weeks,m,en,CLMDJE,280,1,test,background,fam9,5,0.8559740243586549,40.245,FALSE,NA,8.812999999999994,FALSE,3
38 weeks,m,en,CLMDJE,280,1,test,pose,fam8,7,0.6140028315465791,40.16,FALSE,NA,9.061999999999994,TRUE,4
40 or more weeks,m,en,CYc7ZG,290,1,test,animacy,fam9,1,0.5450524461348395,40.31800000000001,FALSE,NA,8.322999999999997,TRUE,1
40 or more weeks,m,en,CYc7ZG,290,1,test,background,fam9,3,0.7910331666711342,40.244,FALSE,NA,7.399999999999999,FALSE,2
40 or more weeks,m,en,CYc7ZG,290,1,test,identity,fam8,5,0.60676519359604,40.292,FALSE,NA,18.87600000000001,TRUE,3
40 or more weeks,m,en,CYc7ZG,290,1,test,pose,fam8,7,0.8612351644172055,40.228,TRUE,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),1.8419999999999987,TRUE,4
40 or more weeks,m,en,DHMcAZ,393,1,test,pose,fam9,1,NA,0.049,TRUE,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),0.049,TRUE,1
40 or more weeks,m,en,DHMcAZ,393,1,test,number,fam8,5,0.7289375406767877,40.173,FALSE,NA,12.217999999999996,TRUE,2
40 or more weeks,m,en,DHMcAZ,393,1,test,background,fam9,7,0.8194419927986253,40.181,FALSE,NA,7.1069999999999975,FALSE,3
40 or more weeks,m,en,DHMcAZ,393,1,test,animacy,fam8,9,0.7751634226755255,40.106,FALSE,NA,21.83600000000001,TRUE,4
37 weeks,m,en,DQQ5ES,229,1,test,background,fam8,1,0.6628702120306639,40.199,FALSE,NA,2.6629999999999967,FALSE,1
37 weeks,m,en,DQQ5ES,229,1,test,pose,fam8,3,0.8263092247338679,40.154,FALSE,NA,13.561000000000009,TRUE,2
37 weeks,m,en,DQQ5ES,229,1,test,number,fam8,5,0.7506442212461987,40.224,FALSE,NA,17.593000000000004,TRUE,3
37 weeks,m,en,DQQ5ES,229,1,test,animacy,fam9,7,0.7611942405508375,40.285,FALSE,NA,6.378999999999992,TRUE,4
36 weeks,f,en es,DTULTV,328,1,test,animacy,fam8,1,0.8541242942891868,40.122,FALSE,NA,9.268999999999998,TRUE,1
36 weeks,f,en es,DTULTV,328,1,test,background,fam9,3,0.35335419107885924,0.05,TRUE,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),0.05,FALSE,2
39 weeks,f,en,DVVR32,204,1,test,animacy,fam9,1,0.9279000346311552,40.294,FALSE,NA,10.496999999999996,TRUE,1
39 weeks,f,en,DVVR32,204,1,test,pose,fam8,3,NA,0.05,TRUE,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),0,TRUE,2
39 weeks,f,en,DVVR32,204,1,test,identity,fam8,7,0.6848281327675205,40.183,FALSE,NA,39.272,TRUE,3
39 weeks,f,en,DVVR32,204,1,test,background,fam8,9,0.8429477961047354,40.172,FALSE,NA,5.7639999999999985,FALSE,4
40 or more weeks,f,en,ERHDZJ,304,1,test,background,fam9,1,NA,40.237,TRUE,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),0,FALSE,1
40 or more weeks,f,en,ERHDZJ,304,1,test,pose,fam9,3,NA,40.177,TRUE,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),0,TRUE,2
40 or more weeks,f,en,ERHDZJ,304,1,test,animacy,fam8,5,0.5809997184084845,40.09,TRUE,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),1.6710000000000034,TRUE,3
40 or more weeks,f,en,ERHDZJ,304,1,test,identity,fam9,7,0.5871754980900071,40.178,FALSE,NA,2.577000000000003,TRUE,4
39 weeks,m,en,EX37dQ,315,1,test,identity,fam9,1,0.7922561421222835,40.186,FALSE,NA,8.053999999999995,TRUE,1
39 weeks,m,en,EX37dQ,315,1,test,number,fam8,3,0.801966103152826,40.187,FALSE,NA,8.19499999999999,TRUE,2
39 weeks,m,en,EX37dQ,315,1,test,animacy,fam8,5,0.6641004641395911,40.119,FALSE,NA,6.867999999999999,TRUE,3
39 weeks,m,en,EX37dQ,315,1,test,background,fam8,7,0.8240934870527423,40.146,TRUE,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),1.753,FALSE,4
38 weeks,f,en,EYZSUD,219,1,test,identity,fam8,1,0.6231946191511973,40.253,FALSE,NA,11.558999999999996,TRUE,1
38 weeks,f,en,EYZSUD,219,1,test,background,fam9,3,0.6819145374664666,40.313,FALSE,NA,5.362000000000002,FALSE,2
38 weeks,f,en,EYZSUD,219,1,test,number,fam8,5,0.918699041998268,40.345,FALSE,NA,9.079999999999998,TRUE,3
38 weeks,f,en,EYZSUD,219,1,test,animacy,fam9,7,0.8572584955601705,40.391,FALSE,NA,5.332999999999998,TRUE,4
39 weeks,f,en,FCGBcF,391,1,test,background,fam8,1,0.91071141281964485,40.152,FALSE,NA,17.349000000000004,FALSE,1
39 weeks,f,en,FCGBcF,391,1,test,number,fam8,3,0.9695135151374716,40.24800000000001,FALSE,NA,40.24800000000001,TRUE,2
39 weeks,f,en,FCGBcF,391,1,test,animacy,fam9,5,0.8519695562484066,40.28,FALSE,NA,13.233999999999996,TRUE,3
39 weeks,f,en,FCGBcF,391,1,test,pose,fam8,7,0.6855739864590829,40.162,FALSE,NA,10.047,TRUE,4
39 weeks,m,en es,FGYMYE,304,1,test,identity,fam8,1,0.6362585832984443,40.172,FALSE,NA,9.061,TRUE,1
