param_id,test_type,trial_number,count,sd_sample,ub_sample,lb_sample,fam_duration,LT,scaled_samples,scaled_ub_sample,scaled_lb_sample,type
7,Novel,7,40,445.8238500385078,80.38061212660045,66.56438787339954,6,17.72639285714286,18.508858555616158,21.081938435101698,15.935778676130617,EIG
7,Novel,9,40,409.51070289978225,74.08043408216118,61.38956591783882,8,21.68012,16.37179917701958,18.735297114544448,14.00830123949471,EIG
7,Novel,10,40,490.6028702686007,80.86322023365793,65.65927976634208,9,19.767214285714285,18.430173798539293,21.261696549502382,15.598651047576205,EIG
8,Familiar,1,40,136.92102026158616,42.89286318954532,38.64963681045469,0,20.15585185185185,18.00951074638602,18.480412484471564,17.538609008300476,EIG
8,Familiar,2,40,142.97437201341916,40.72916084671373,36.29833915328627,1,18.24706896551724,17.508448310044393,18.000168866568004,17.016727753520776,EIG
8,Familiar,3,40,132.3977261690579,37.18402402143536,33.08097597856464,2,19.06634375,16.75796442836991,17.213309555454643,16.30261930128518,EIG
8,Familiar,4,40,137.2269633624683,33.555103827008004,29.302396172992,3,16.999148148148148,15.935900198646626,16.407854142870317,15.463946254422936,EIG
8,Familiar,5,40,138.0374091172008,30.78141181408235,26.503588185917646,4,16.70561403508772,15.317479284690094,15.792220531504714,14.842738037875478,EIG
8,Familiar,7,39,120.95797443305408,23.36480682579552,19.568526507537815,6,14.148833333333332,13.724770300069284,14.14607117832,13.303469421818566,EIG
8,Familiar,9,40,120.46209274902078,20.376579465507064,16.64342053449294,8,10.004521739130434,13.06852462855208,13.482820466697031,12.654228790407128,EIG
8,Familiar,10,40,111.2889789786269,19.0944405950306,15.645559404969406,9,11.712538461538461,12.81549642149584,13.198243888106004,12.432748954885678,EIG
8,Novel,2,40,199.59543291895548,49.59026327509712,43.40473672490288,1,18.61582142857143,19.280478089066534,19.966931024458823,18.594025153674252,EIG
8,Novel,3,40,214.0108211725458,51.87863203025834,45.24636796974166,2,19.665555555555557,19.738814271146477,20.4748449220044,19.002783620288554,EIG
8,Novel,4,40,238.9679674636,54.630347018529335,47.22465298147067,3,17.75825,20.263736823504374,21.085600632365793,19.441873014642958,EIG
8,Novel,5,40,241.9085516645103,50.303411842788606,42.806588157211394,4,15.318249999999999,19.293240476703144,20.12521760643049,18.461263346975798,EIG
8,Novel,7,40,239.2254497110909,47.23433674728907,39.82066325271092,6,17.72639285714286,18.621273023314757,19.444022370697855,17.798523675931655,EIG
8,Novel,9,40,257.20726334182217,47.18421783620455,39.21328216379544,8,21.68012,18.548305459218493,19.43289824945985,17.663712668977137,EIG
8,Novel,10,40,270.37185407080415,48.01570528292541,39.636794717074594,9,19.767214285714285,18.687581950383223,19.617450686155944,17.7577132146105,EIG
9,Familiar,1,40,255.18157621996392,78.52907948905803,70.62092051094197,0,20.15585185185185,17.455663080495345,18.091562924406198,16.819763236584492,EIG
9,Familiar,2,40,284.76218609846876,78.09868578784351,69.2738142121565,1,18.24706896551724,17.312733230996947,18.02234648903106,16.60311997296283,EIG
9,Familiar,3,40,286.3634376470792,73.63099743764585,64.75650256235414,2,19.06634375,16.590243949566222,17.303847447118827,15.876640452013616,EIG
9,Familiar,4,40,284.857840814825,71.12141797302935,62.29358202697064,3,16.999148148148148,16.190402218690956,16.90025384353862,15.480550593843287,EIG
9,Familiar,5,40,287.95900201609476,66.5082209636874,57.5842790363126,4,16.70561403508772,15.440774358241546,16.158353923142887,14.723194793340207,EIG
9,Familiar,7,40,280.28369556576064,60.35429085808549,51.6682091419145,6,14.148833333333332,14.47021836192893,15.168671443460921,13.771765280396941,EIG
9,Familiar,9,40,283.53108063175455,57.97335961100146,49.18664038899853,8,10.004521739130434,14.079221797548643,14.785767201759931,13.372676393337354,EIG
9,Familiar,10,40,258.8924792060861,50.19408052655716,42.17091947344284,9,11.712538461538461,12.889546903974066,13.53469413425426,12.244399673693874,EIG
9,Novel,2,40,323.7464366802481,89.60025300893801,79.56724699106198,1,18.61582142857143,19.065282356070135,19.872042434917702,18.258522277222568,EIG
9,Novel,3,40,401.4482007616136,92.04800431721787,79.60699568278211,2,19.665555555555557,19.265303734763396,20.265692759645635,18.264914709881154,EIG
9,Novel,4,39,383.8090191200497,90.01012519243211,77.96423378192686,3,17.75825,18.96934116494483,19.937958575002533,18.000723754887126,EIG
9,Novel,5,40,418.0790374784981,96.90695180197446,83.95054819802553,4,15.318249999999999,20.005282322672826,21.04711456860978,18.963450076735874,EIG
9,Novel,7,40,450.8814028918072,94.36022971997568,80.38727028002431,6,17.72639285714286,19.513973529179033,20.637547644396744,18.390399413961326,EIG
9,Novel,9,40,432.5787089925764,84.57162653978735,71.16587346021267,8,21.68012,17.985367937637793,19.063332646541483,16.907403228734104,EIG
9,Novel,10,40,432.49679645908174,86.76410729193103,73.36089270806897,9,19.767214285714285,18.338169464880675,19.41593005180959,17.26040887795176,EIG
10,Familiar,1,40,130.88789900240263,43.5106290071082,39.4543709928918,0,20.15585185185185,18.08459336769767,18.52011092577078,17.649075809624556,EIG
10,Familiar,2,40,140.92984443556156,39.06373056367695,34.69626943632306,1,18.24706896551724,17.09625901913985,17.565190235669444,16.627327802610257,EIG
10,Familiar,3,40,138.84958730488486,35.5627466454834,31.259753354516604,2,19.06634375,16.35138454405893,16.81339389452893,15.889375193588933,EIG
10,Familiar,4,40,133.3415381247482,33.50739853920347,29.37510146079653,3,16.999148148148148,15.92834952685982,16.37203134554909,15.484667708170555,EIG
10,Familiar,5,40,137.12613286966666,30.94354144233524,26.693958557664764,4,16.70561403508772,15.36519758137522,15.821472294244664,14.908922868505773,EIG
10,Familiar,7,40,139.69071098982246,25.43452999201115,21.10547000798885,6,14.148833333333332,14.17366684448001,14.638474957372612,13.708858731587409,EIG
10,Familiar,9,40,122.86307097955154,22.012533008629756,18.204966991370245,8,10.004521739130434,13.494824485027888,13.903640159037561,13.08600881101821,EIG
10,Familiar,10,40,118.2849481014741,20.144094259685794,16.47840574031421,9,11.712538461538461,13.108831874157126,13.50241426142589,12.715249486888359,EIG
10,Novel,2,40,195.50067303693547,50.35056431337366,44.29193568662634,1,18.61582142857143,19.338398294941985,19.98890897141891,18.687887618465062,EIG
10,Novel,3,40,222.27354531605516,52.03291426731698,45.14458573268301,2,19.665555555555557,19.610579454485066,20.350174424059176,18.870984484910956,EIG
10,Novel,4,39,233.4704421729249,54.72272306454872,47.3952256534,3,17.75825,20.14103194391876,20.927780165581638,19.354283722255886,EIG
10,Novel,5,40,242.14231352657055,51.40953402036815,43.90546597963185,4,15.318249999999999,19.41060414495884,20.216310630409644,18.604897659508033,EIG
10,Novel,7,40,248.94118941925555,49.514883693781655,41.80011630621834,6,17.72639285714286,18.981126970137407,19.80945609564121,18.152797844633604,EIG
10,Novel,9,39,255.3843697562352,46.847377898438275,38.83210928104891,8,21.68012,18.376045938931455,19.236639669239274,17.515452208623643,EIG
10,Novel,10,40,257.1268732500911,45.587972178827776,37.61952782117222,9,19.767214285714285,18.11063042142122,18.966196664033138,17.2550641788093,EIG
