trial_number,fam_duration,trial_type,mean_lt,count.x,sd_lt,ub_lt,lb_lt,param_id,count.y,sd_sample,mean_sample,ub_sample,lb_sample,scaled_samples,scaled_lb,scaled_ub,type
4,9,Familiar,2113.4383954154728,698,1904.8842822888353,2254.75622488141,1972.1205659495354,127,548,32.35624075490651,1.993795620437956,2.1292502505509754,1.8583409903249368,2296.0834690723327,2296.0834690587876,2296.0834690858783,No Learning
4,10,Familiar,2065.271448663854,711,1905.4765403778006,2205.33491726758,1925.2079800601275,127,548,32.35624075490651,1.993795620437956,2.1292502505509754,1.8583409903249368,2296.0834690723327,2296.0834690587876,2296.0834690858783,No Learning
5,4,Familiar,2051.6974358974358,195,1994.9157710931752,2331.7008517000268,1771.694020094845,127,475,30.583062047651904,1.9885263157894737,2.126044534013425,1.8510080975655223,2296.083469071806,2296.083469058054,2296.0834690855577,No Learning
5,4,Novel,2544.159183673469,490,1919.8568121367064,2714.150552290245,2374.1678150566936,127,37,8.645047258706176,1.9432432432432432,2.0825244706679915,1.8039620158184944,2296.0834690672777,2296.0834690533493,2296.0834690812057,No Learning
5,5,Familiar,1902.871829105474,749,1504.5042789109937,2010.6196733341203,1795.1239848768278,127,475,30.583062047651904,1.9885263157894737,2.126044534013425,1.8510080975655223,2296.083469071806,2296.083469058054,2296.0834690855577,No Learning
5,6,Familiar,2066.8057663125946,659,1813.8678069756088,2205.295951803886,1928.3155808213032,127,475,30.583062047651904,1.9885263157894737,2.126044534013425,1.8510080975655223,2296.083469071806,2296.083469058054,2296.0834690855577,No Learning
5,7,Familiar,2044.1632653061224,686,1762.9006810543046,2176.0866724144353,1912.2398581978093,127,475,30.583062047651904,1.9885263157894737,2.126044534013425,1.8510080975655223,2296.083469071806,2296.083469058054,2296.0834690855577,No Learning
5,8,Familiar,1933.2472222222223,720,1591.4807775656107,2049.496756203906,1816.9976882405385,127,475,30.583062047651904,1.9885263157894737,2.126044534013425,1.8510080975655223,2296.083469071806,2296.083469058054,2296.0834690855577,No Learning
5,9,Familiar,2070.015781922525,697,2012.1778091585527,2219.400453792545,1920.6311100525054,127,475,30.583062047651904,1.9885263157894737,2.126044534013425,1.8510080975655223,2296.083469071806,2296.083469058054,2296.0834690855577,No Learning
5,10,Familiar,2044.6825842696628,712,1859.0701130732389,2181.238916527387,1908.1262520119387,127,475,30.583062047651904,1.9885263157894737,2.126044534013425,1.8510080975655223,2296.083469071806,2296.083469058054,2296.0834690855577,No Learning
6,5,Familiar,1881.2660098522167,203,1359.2532050442658,2068.251720015449,1694.2802996889843,127,398,28.30524407429238,2.007160804020101,2.146204544937804,1.8681170631023976,2296.083469073669,2296.083469059765,2296.0834690875736,No Learning
6,5,Novel,2480.738188976378,508,1807.68933888416,2637.936549358753,2323.5398285940028,127,38,9.260982100926674,2.088157894736842,2.2353862031297727,1.940929586343912,2296.083469081769,2296.0834690670463,2296.083469096492,No Learning
